nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,montant_pret
Pruvost,Édouard,66,162.7,69.5,H,oui,doctorat,Normandie,non,oui,4653,42219
Bonneau,Susan,23,164.8,73.4,F,oui,bac,Hauts-de-France,non,oui,2480,84045
Ferrand,Auguste,33,181.9,107.9,H,non,master,Corse,non,non,1862,42240
Gilbert,Patricia,39,165.1,85.7,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,3318,83652
Riou,Victoire,25,188.5,78.8,F,non,bac,Normandie,non,non,2068,83703
Maillard,Luce,58,175.9,86.6,F,non,doctorat,Corse,oui,non,3484,83949
Leduc,Jacques,48,175.1,86.0,H,non,doctorat,Auvergne-Rhône-Alpes,non,non,3903,41598
Maillet,Élodie,48,183.8,79.7,H,oui,doctorat,Provence-Alpes-Côte d’Azur,non,oui,2299,41669
Leblanc,Matthieu,41,171.5,88.1,H,oui,aucun,Corse,oui,oui,1519,42214
Hoarau,Maurice,72,173.7,64.1,F,oui,bac,Occitanie,oui,non,2534,83598
Chartier,Suzanne,46,182.8,72.9,H,non,bac,Normandie,non,oui,2555,42427
Maillard,Robert,53,156.4,81.2,F,non,aucun,Normandie,non,non,3274,84138
Charrier,Margot,65,191.6,65.4,H,oui,aucun,Normandie,non,non,2762,41541
Mary,Hugues,52,172.5,93.7,H,oui,master,Île-de-France,non,oui,2385,42043
Andre,Élodie,67,172.8,79.1,H,non,bac+2,Normandie,non,non,2723,42173
Potier,Alphonse,42,165.5,72.9,F,oui,doctorat,Hauts-de-France,non,oui,3788,84220
Normand,Thibault,52,159.7,72.0,F,oui,bac,Île-de-France,oui,non,1659,84294
Gimenez,Alix,47,182.0,47.2,F,non,bac,Corse,non,oui,1829,83598
Clerc,Émile,35,173.8,93.5,H,oui,aucun,Normandie,oui,oui,2421,41661
Moreau,Louis,22,164.4,98.2,H,oui,master,Île-de-France,oui,non,762,41560
Petitjean,Gilbert,43,148.0,76.6,F,oui,doctorat,Corse,oui,oui,1897,84321
Guichard,Maggie,36,159.8,80.6,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,2792,41539
Prévost,Augustin,27,164.4,50.8,H,non,bac+2,Bretagne,oui,oui,3546,42127
Brunel,Timothée,55,176.5,68.5,H,non,doctorat,Occitanie,oui,non,4715,41637
Guillet,Christelle,59,159.3,47.1,F,non,master,Normandie,oui,oui,1669,84353
Torres,Augustin,29,169.5,73.7,F,oui,bac,Bretagne,oui,non,2210,83950
Chartier,Margaux,21,173.5,51.2,F,non,doctorat,Hauts-de-France,non,oui,4232,84093
Carpentier,Laurent,31,169.2,86.8,F,oui,master,Auvergne-Rhône-Alpes,oui,oui,2911,83925
Mahe,Dorothée,71,174.6,78.5,H,oui,bac+2,Normandie,oui,non,3037,42050
Lacombe,Émile,30,176.4,89.9,H,non,bac,Auvergne-Rhône-Alpes,non,non,2735,41983
De Sousa,Renée,18,177.1,68.7,H,oui,aucun,Occitanie,oui,non,4228,42453
Lecomte,Élisabeth,63,163.2,97.0,H,non,bac,Auvergne-Rhône-Alpes,non,oui,2451,41933
De Sousa,Paulette,52,155.7,71.9,F,non,bac+2,Auvergne-Rhône-Alpes,non,oui,1682,84189
Pierre,Frédéric,69,178.4,60.2,F,non,bac,Auvergne-Rhône-Alpes,non,oui,1964,84405
Becker,Josette,54,151.1,63.2,H,oui,aucun,Bretagne,non,oui,500,41774
Bonneau,Gabriel,30,154.2,81.4,F,oui,master,Corse,non,oui,3442,83545
Lesage,Julie,61,174.3,55.5,F,non,master,Occitanie,non,oui,2442,84392
Lecomte,Richard,68,170.0,52.6,F,oui,bac,Occitanie,oui,non,4304,83717
Dias,Alphonse,52,178.8,66.7,H,oui,aucun,Île-de-France,oui,oui,2532,42130
Peltier,Alphonse,71,172.1,39.4,H,oui,bac,Île-de-France,oui,oui,2203,41587
Sanchez,Hélène,41,163.2,55.0,H,non,master,Île-de-France,oui,oui,2162,41865
Hernandez,Margaux,44,188.0,79.6,H,oui,doctorat,Bretagne,non,oui,1814,42101
Nguyen,Manon,70,175.7,91.0,F,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,3609,83706
Lopez,Suzanne,57,170.6,60.3,F,non,bac+2,Normandie,oui,oui,3337,84336
Colas,Mathilde,43,173.9,83.4,F,oui,bac,Bretagne,oui,non,3262,84302
Wagner,William,72,180.5,62.0,H,oui,master,Normandie,non,oui,4080,41894
Breton,Arthur,21,172.0,101.1,H,oui,aucun,Occitanie,non,non,1672,42165
Morel,Andrée,39,187.4,73.0,H,oui,bac,Corse,non,oui,1718,41609
Masson,Adrien,22,165.2,65.2,F,oui,bac,Auvergne-Rhône-Alpes,oui,non,3008,83579
Mace,Agnès,55,175.2,61.4,H,non,aucun,Bretagne,oui,oui,2470,42014
Pires,Georges,54,191.4,95.9,F,non,master,Hauts-de-France,oui,oui,3023,83726
Valette,Claire,40,170.4,71.8,H,oui,master,Corse,oui,oui,3236,42017
Daniel,Adèle,67,159.8,66.1,F,non,aucun,Bretagne,non,oui,500,84396
Bruneau,Valérie,40,174.0,79.7,F,non,bac,Normandie,oui,non,1920,83786
Guilbert,Margot,36,185.7,51.6,H,oui,aucun,Bretagne,oui,oui,742,42181
Pascal,Martine,68,172.2,85.7,H,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,4520,41506
Marchal,Laure,37,165.4,86.2,F,non,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,2453,83811
Barre,Lucie,45,168.3,83.3,F,non,aucun,Île-de-France,oui,oui,3282,83819
Le Roux,Zoé,23,154.2,92.1,F,non,aucun,Bretagne,non,oui,4156,84441
Bonnet,Thibaut,23,163.7,75.9,H,oui,master,Hauts-de-France,oui,oui,3092,42093
Thibault,Michèle,35,172.6,61.7,F,oui,aucun,Hauts-de-France,non,oui,1694,84329
Weiss,Jules,37,169.7,87.6,F,oui,bac+2,Bretagne,oui,non,3152,83909
Vidal,Lucie,49,166.3,81.6,H,non,aucun,Hauts-de-France,non,oui,500,42267
Parent,Éléonore,43,181.5,43.9,F,non,bac+2,Occitanie,non,oui,2065,83897
Hoarau,Marguerite,70,158.8,50.6,H,non,bac+2,Corse,non,oui,3892,41543
Ollivier,Marine,43,165.3,75.2,F,non,master,Corse,non,oui,2443,83732
Le Gall,Marguerite,70,174.8,71.2,F,non,aucun,Corse,oui,non,960,84314
Hamon,Georges,53,180.0,62.6,H,non,bac,Occitanie,non,non,632,42328
Leroy,Noël,22,165.7,92.5,F,non,bac,Bretagne,oui,oui,3520,83980
Mahe,Madeleine,27,166.5,64.8,F,non,aucun,Occitanie,non,oui,2114,83636
Gosselin,Sylvie,52,190.8,75.7,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,non,3016,83546
Mathieu,Guillaume,60,180.3,73.6,F,oui,doctorat,Île-de-France,non,non,2189,84391
Arnaud,Étienne,39,168.0,68.9,F,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,2455,84231
Charles,Victor,65,177.3,70.8,H,non,bac+2,Normandie,non,non,3379,42087
Grégoire,Benoît,55,169.2,71.2,H,non,aucun,Occitanie,oui,oui,500,41867
Olivier,Noël,23,179.2,75.2,H,oui,bac+2,Bretagne,non,oui,3697,41667
Cordier,Sophie,31,141.0,101.3,F,non,master,Provence-Alpes-Côte d’Azur,non,non,2332,84262
Mercier,Grégoire,46,181.1,54.4,F,oui,bac+2,Île-de-France,oui,oui,3235,83729
Teixeira,Alexandre,39,159.5,60.6,H,oui,bac,Hauts-de-France,oui,oui,4796,42117
Collet,Paul,45,168.1,73.3,F,oui,master,Hauts-de-France,oui,non,3544,83956
Rodriguez,Marcel,45,175.0,72.3,F,oui,doctorat,Corse,non,oui,2937,84299
Dupré,Élisabeth,42,194.0,69.1,H,oui,bac,Bretagne,oui,oui,2741,41784
Berger,Hélène,69,180.5,86.6,H,non,bac+2,Corse,non,oui,3924,42286
Diaz,Dorothée,60,176.4,52.9,F,non,doctorat,Normandie,non,oui,4460,83544
Becker,Marc,40,158.5,74.5,F,non,doctorat,Hauts-de-France,non,non,1594,84034
Breton,Thierry,55,169.4,74.9,H,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,2885,42037
Grondin,Renée,29,174.2,94.2,F,oui,doctorat,Normandie,non,oui,3044,84363
Ledoux,Marthe,54,167.6,84.5,F,non,bac,Occitanie,oui,oui,3927,84424
Martel,Clémence,49,157.7,79.0,F,oui,bac,Auvergne-Rhône-Alpes,non,non,3341,83769
Grégoire,Capucine,73,167.0,90.6,F,oui,master,Hauts-de-France,oui,non,2319,84133
Berthelot,Constance,53,171.3,67.4,F,non,master,Normandie,non,oui,2518,83968
Marin,Mathilde,23,159.0,48.4,H,oui,bac+2,Île-de-France,non,oui,4413,42133
Blanchet,Alain,36,161.5,55.1,H,non,doctorat,Occitanie,oui,oui,500,41929
Courtois,Gilles,35,163.6,50.2,F,oui,master,Corse,non,oui,4470,83974
Martinez,Jeannine,71,180.1,59.7,H,non,aucun,Occitanie,non,oui,5202,41795
Richard,Emmanuel,70,179.8,65.1,H,non,aucun,Corse,oui,non,500,42044
Gaudin,Vincent,55,192.9,49.2,F,non,bac,Hauts-de-France,oui,non,525,84260
Briand,Cécile,69,180.2,106.6,H,non,doctorat,Bretagne,oui,oui,4161,42215
Tanguy,David,63,175.6,78.9,F,non,doctorat,Bretagne,oui,oui,3524,83767
Dumas,Arnaude,66,177.6,74.2,F,oui,bac+2,Hauts-de-France,oui,oui,2625,83883
Marion,Louise,63,169.4,58.7,F,oui,master,Occitanie,oui,oui,2163,84070
Pottier,Élodie,35,153.1,68.5,F,non,master,Provence-Alpes-Côte d’Azur,oui,oui,1313,83993
Fernandez,Augustin,65,159.0,72.7,F,non,master,Occitanie,non,oui,4170,84332
Nicolas,Benjamin,73,179.2,46.4,H,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,1312,42372
Fernandes,Arnaude,45,179.4,55.3,H,non,bac+2,Auvergne-Rhône-Alpes,non,oui,2230,41866
Boulanger,Antoine,54,175.5,55.5,H,non,bac+2,Île-de-France,oui,oui,2626,42422
Lecomte,Capucine,68,156.7,61.0,F,oui,aucun,Hauts-de-France,non,oui,2883,83523
Delattre,Audrey,45,154.1,76.6,H,oui,bac+2,Hauts-de-France,non,oui,2476,41719
Dumas,René,41,175.5,73.4,F,oui,bac+2,Hauts-de-France,oui,oui,4136,83528
Lamy,Isaac,37,171.3,63.6,H,non,aucun,Provence-Alpes-Côte d’Azur,oui,oui,2646,42264
Renault,Aurore,22,175.4,70.7,H,oui,doctorat,Occitanie,oui,oui,2548,42185
Gomez,Pierre,39,163.0,60.1,H,non,bac,Occitanie,oui,oui,816,41680
Merle,Diane,23,187.5,51.3,H,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,1668,42286
Barbe,Amélie,67,162.8,83.4,H,oui,aucun,Île-de-France,oui,oui,2146,41783
Blanc,Audrey,64,182.5,59.9,H,oui,master,Occitanie,oui,oui,2834,41850
Blanc,Victor,24,161.6,102.2,H,oui,doctorat,Normandie,non,non,1074,41532
Lucas,Joseph,38,173.1,79.5,H,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,2996,41652
Charpentier,Étienne,56,168.1,68.1,F,oui,bac+2,Corse,oui,non,2552,83931
Lefort,Anne,36,168.5,84.5,H,oui,master,Normandie,oui,oui,5152,41650
Neveu,Marthe,58,164.4,49.5,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,2394,41604
Bernier,Sabine,71,195.8,57.9,F,non,doctorat,Hauts-de-France,non,non,4466,83748
Rolland,Adélaïde,67,186.8,61.7,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3182,41511
Julien,Pierre,20,186.3,64.3,H,non,doctorat,Bretagne,non,oui,2255,41636
Lopes,Tristan,43,164.2,54.8,H,oui,bac+2,Provence-Alpes-Côte d’Azur,non,oui,1720,41653
Merle,Claude,31,157.8,70.5,H,non,master,Provence-Alpes-Côte d’Azur,non,non,1576,42164
Dufour,Étienne,64,172.3,46.7,H,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,2897,42434
Gay,Matthieu,57,178.3,40.1,H,non,bac,Provence-Alpes-Côte d’Azur,oui,non,2948,42135
Royer,Maggie,62,182.3,51.9,H,oui,master,Auvergne-Rhône-Alpes,non,oui,4507,41916
Dubois,Michèle,26,174.2,59.4,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2433,84059
Bouchet,Jacqueline,22,175.6,71.1,F,oui,master,Occitanie,non,oui,3146,83600
Barthelemy,Anaïs,72,160.8,72.5,H,non,bac,Bretagne,oui,non,803,42153
Renault,Rémy,61,168.9,56.4,H,oui,doctorat,Île-de-France,oui,non,1617,41882
Bertin,Luce,18,182.4,86.4,H,oui,master,Auvergne-Rhône-Alpes,non,non,3230,41835
Delorme,Anaïs,29,159.1,65.3,H,non,bac,Auvergne-Rhône-Alpes,oui,oui,3955,41572
Michaud,Zoé,64,171.4,104.8,F,non,aucun,Auvergne-Rhône-Alpes,oui,oui,2971,83716
Chartier,Noémi,75,171.9,65.4,H,oui,bac,Île-de-France,non,oui,2660,41862
Bonnet,Yves,47,168.5,80.6,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,3648,84050
Maury,Adélaïde,30,162.1,50.0,F,non,doctorat,Corse,non,oui,500,83980
Legendre,Sébastien,49,175.1,53.4,H,oui,bac,Île-de-France,non,oui,500,41580
Lefort,Constance,52,173.9,107.4,F,oui,bac+2,Île-de-France,non,non,2492,83666
Simon,Nath,64,178.4,71.2,F,oui,bac,Corse,non,oui,2381,84256
Laporte,Théophile,21,179.2,65.6,H,non,aucun,Île-de-France,oui,non,2820,42381
Paul,Julie,51,173.2,60.0,F,non,master,Provence-Alpes-Côte d’Azur,oui,oui,3690,83950
Sauvage,Alexandria,58,168.3,58.7,F,oui,doctorat,Île-de-France,non,non,3143,83697
Bernier,Charles,26,161.0,70.4,H,non,bac+2,Auvergne-Rhône-Alpes,non,non,2489,41803
Caron,Antoinette,65,180.9,77.1,F,non,master,Bretagne,oui,oui,2469,84274
Mahe,Zacharie,30,178.2,90.9,H,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,3169,42334
Durand,Emmanuelle,38,170.1,50.3,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,oui,1221,83794
De Sousa,Zacharie,47,166.9,60.9,F,oui,aucun,Hauts-de-France,non,non,2275,84057
Maury,Xavier,62,170.6,77.9,H,oui,bac+2,Hauts-de-France,oui,non,2415,41645
Legrand,Édith,40,174.9,71.0,F,oui,bac+2,Bretagne,oui,oui,500,83920
Lopes,Laurence,43,160.6,67.8,F,oui,aucun,Occitanie,oui,non,1048,84212
Jacques,Léon,26,176.0,93.0,H,oui,aucun,Corse,oui,oui,3962,41565
Blanchet,Guillaume,43,167.9,92.4,F,oui,doctorat,Bretagne,oui,oui,2678,83910
Didier,Josette,22,166.6,60.8,H,non,bac,Provence-Alpes-Côte d’Azur,non,oui,2137,41522
Gautier,Thierry,47,166.1,72.6,H,oui,doctorat,Normandie,non,oui,2692,41976
Bigot,Luc,42,170.0,76.6,F,oui,bac+2,Corse,oui,oui,3928,83514
Peron,David,46,179.5,47.7,H,oui,doctorat,Corse,non,oui,500,41933
Peron,Élise,74,179.3,49.5,F,oui,aucun,Bretagne,non,oui,2230,84372
Bouvier,Colette,30,158.3,43.0,H,oui,master,Auvergne-Rhône-Alpes,non,oui,3149,42318
Devaux,Philippine,49,177.6,61.4,F,non,master,Bretagne,oui,oui,500,83993
Laroche,Victor,56,164.5,75.9,H,oui,bac+2,Île-de-France,non,oui,725,42399
Peron,Marcel,67,171.8,69.8,H,oui,aucun,Corse,oui,oui,3195,42161
Maillot,Nicole,70,171.2,55.4,H,oui,doctorat,Normandie,non,non,3935,41526
Roussel,Margaud,72,168.4,69.6,H,oui,bac,Auvergne-Rhône-Alpes,non,non,1380,42413
Teixeira,Guillaume,19,165.6,56.7,F,oui,doctorat,Corse,non,oui,2292,84364
Launay,Paul,29,187.1,49.4,F,oui,aucun,Île-de-France,oui,non,563,83815
Goncalves,Valentine,19,184.7,66.9,F,oui,bac+2,Corse,oui,oui,1697,84212
Pascal,Roland,29,180.4,60.9,F,oui,aucun,Hauts-de-France,oui,non,4691,83773
Bertrand,Éléonore,72,176.8,62.7,F,oui,bac+2,Normandie,oui,oui,5088,83590
Valentin,Matthieu,38,163.9,81.1,H,oui,master,Occitanie,non,oui,2859,42254
Devaux,Olivier,53,183.0,93.4,F,oui,doctorat,Hauts-de-France,non,oui,2538,83599
Dumont,Arnaude,62,162.5,76.9,F,oui,bac,Île-de-France,non,non,1686,83609
Marin,Charles,67,190.1,72.0,H,oui,doctorat,Auvergne-Rhône-Alpes,oui,non,2061,41848
Albert,Noémi,24,171.8,49.8,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,1334,83612
Colas,Roger,38,182.0,60.1,H,oui,bac+2,Occitanie,oui,oui,1243,41715
Albert,Monique,33,175.4,87.8,H,non,bac+2,Provence-Alpes-Côte d’Azur,oui,oui,3362,41768
Martin,Christine,46,180.0,58.6,F,oui,master,Occitanie,non,oui,793,83925
Morvan,Denise,42,185.0,65.2,H,non,doctorat,Corse,oui,oui,2199,41865
Cordier,Gabriel,69,183.3,78.3,H,non,aucun,Auvergne-Rhône-Alpes,non,non,3047,41741
Carre,Luc,22,191.7,60.3,F,oui,master,Hauts-de-France,oui,oui,3613,84259
Courtois,Alice,75,170.6,74.0,H,non,doctorat,Occitanie,oui,oui,4334,41643
Goncalves,Marine,59,175.1,78.1,H,non,bac,Île-de-France,oui,oui,3787,42230
Martineau,Thibaut,30,166.4,57.4,F,non,bac+2,Bretagne,oui,oui,1246,83505
Maillet,Hugues,43,150.3,100.8,F,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,1176,84305
Jacquot,Rémy,36,167.8,65.8,F,oui,aucun,Île-de-France,oui,oui,2868,84011
Mahe,Mathilde,36,178.2,82.9,H,non,aucun,Bretagne,non,oui,1800,42426
Daniel,Élodie,75,168.3,74.2,F,oui,doctorat,Normandie,oui,oui,2201,84308
Joseph,Alexandre,42,186.1,77.4,F,oui,master,Île-de-France,non,oui,3381,83579
Michaud,Alexandrie,34,176.6,87.6,H,non,doctorat,Île-de-France,oui,non,2717,42111
Lemaire,Denis,60,157.0,76.0,H,oui,bac+2,Normandie,oui,oui,1718,42186
Mercier,Bernard,71,164.7,78.8,F,non,doctorat,Occitanie,oui,oui,3985,84089
Delattre,Daniel,23,170.2,74.6,F,oui,doctorat,Hauts-de-France,oui,non,4542,84176
Leclerc,Danielle,46,172.4,109.0,H,oui,bac,Corse,oui,oui,3178,41991
Boutin,Théodore,23,152.4,81.3,F,oui,bac,Bretagne,non,non,2957,84345
Duhamel,Victor,69,182.9,80.1,H,oui,master,Normandie,non,non,2333,42464
Blanchard,Pierre,51,157.8,66.9,F,oui,doctorat,Normandie,oui,oui,1479,84117
Mathieu,René,27,164.2,78.8,H,oui,doctorat,Provence-Alpes-Côte d’Azur,non,non,4503,41856
Lacombe,Agathe,74,173.9,52.1,F,non,bac+2,Normandie,non,oui,3033,83731
Perrier,Christiane,48,182.0,60.9,H,oui,bac+2,Normandie,oui,non,2339,41988
Leleu,Roland,61,170.1,58.2,F,oui,master,Auvergne-Rhône-Alpes,oui,oui,3277,84099
Delahaye,Antoine,48,168.8,76.3,F,non,aucun,Auvergne-Rhône-Alpes,non,oui,1435,84266
Laine,Audrey,71,165.6,80.8,F,oui,bac,Hauts-de-France,non,non,2052,84458
Chevallier,Odette,46,187.3,64.0,F,non,master,Provence-Alpes-Côte d’Azur,oui,oui,2769,84403
Alexandre,Honoré,70,179.3,48.7,F,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,500,84041
Perrot,Joséphine,28,154.7,88.9,H,non,doctorat,Normandie,oui,non,1837,41600
Meunier,Yves,51,195.6,61.5,H,oui,bac,Corse,oui,oui,2721,42399
Chauvin,Odette,47,185.4,100.1,H,non,bac,Bretagne,non,non,4973,41580
Garcia,Audrey,50,182.1,85.4,F,oui,aucun,Corse,non,oui,3211,84303
Leclercq,Guillaume,46,177.8,61.7,H,non,doctorat,Auvergne-Rhône-Alpes,non,oui,1518,41600
Chauvet,Antoine,75,170.0,67.4,F,oui,bac+2,Île-de-France,non,oui,1956,84332
Chrétien,Joséphine,72,177.0,84.3,H,oui,bac,Corse,non,non,2606,42206
Pruvost,Jules,50,184.8,52.9,H,oui,master,Hauts-de-France,oui,non,2267,42444
Coste,Margaud,18,162.8,42.0,H,non,doctorat,Bretagne,non,oui,2400,42028
Seguin,Odette,42,168.8,92.7,F,non,bac+2,Corse,non,oui,3256,84043
Samson,Océane,51,159.8,97.8,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,3965,83571
Voisin,Suzanne,24,175.8,66.6,F,oui,bac+2,Bretagne,non,non,1348,83518
Antoine,Bernadette,34,166.3,86.3,F,oui,bac,Corse,oui,non,4761,84119
Cordier,Arnaude,69,185.4,62.7,F,non,bac,Île-de-France,non,non,1156,84127
Tessier,Martine,34,171.4,43.5,F,non,master,Île-de-France,oui,oui,2887,83658
Lopes,Guillaume,63,168.5,63.0,H,non,bac+2,Bretagne,oui,non,586,42205
Gilbert,Noël,74,175.1,62.0,H,non,aucun,Occitanie,oui,non,1096,42226
Julien,Lucas,64,141.3,69.6,H,non,aucun,Corse,non,oui,4626,42086
Paris,Alexandrie,73,186.6,63.1,F,non,bac+2,Auvergne-Rhône-Alpes,non,oui,1777,84335
Boyer,Antoinette,47,174.7,55.0,H,non,aucun,Provence-Alpes-Côte d’Azur,non,non,2862,42268
Maillard,Daniel,50,177.7,88.4,H,non,doctorat,Bretagne,non,oui,2379,41588
Navarro,Richard,72,168.0,56.8,H,oui,bac,Auvergne-Rhône-Alpes,non,non,1507,42246
Michel,Agnès,75,167.7,75.5,F,oui,bac+2,Hauts-de-France,oui,oui,3596,83812
Dufour,Édouard,58,162.0,92.4,H,non,aucun,Île-de-France,non,oui,2174,42463
Auger,Yves,66,169.8,58.8,H,oui,master,Provence-Alpes-Côte d’Azur,oui,non,500,41810
Klein,Lucas,58,178.8,81.1,F,non,master,Occitanie,non,oui,2162,83705
Boulanger,Noël,52,170.7,77.7,H,non,aucun,Auvergne-Rhône-Alpes,oui,oui,624,41558
Bonnet,Marianne,18,164.7,81.9,H,oui,bac+2,Bretagne,oui,oui,994,41785
Allard,Lucas,50,172.9,49.7,F,oui,aucun,Île-de-France,non,non,3059,84408
Peltier,Roger,47,169.6,45.8,F,non,bac,Auvergne-Rhône-Alpes,non,oui,3897,83830
Le Goff,Aimé,30,162.7,57.8,H,non,aucun,Corse,oui,non,2740,42323
Clément,Arnaude,26,181.5,54.8,H,oui,doctorat,Hauts-de-France,oui,oui,2574,42460
Pons,Margaud,59,174.3,80.4,H,non,bac+2,Île-de-France,oui,non,2711,42402
Ferreira,Nicolas,59,166.3,57.6,H,oui,aucun,Normandie,non,oui,2603,42268
Rivière,Isabelle,53,159.3,26.2,F,non,bac,Corse,oui,oui,3023,84429
Dupré,René,60,179.0,34.6,H,non,doctorat,Hauts-de-France,non,non,1288,41697
Coulon,Antoinette,24,176.2,100.9,H,non,aucun,Provence-Alpes-Côte d’Azur,non,oui,2524,42463
Leleu,Sabine,30,162.7,67.3,F,oui,bac+2,Normandie,non,oui,4149,84326
Masse,Suzanne,53,163.5,58.0,F,oui,master,Auvergne-Rhône-Alpes,oui,oui,1920,84179
Ledoux,Denis,60,160.5,71.8,H,oui,doctorat,Occitanie,oui,non,4449,41641
Coulon,Philippe,67,173.2,66.2,H,oui,bac+2,Corse,non,non,2149,42213
Maillard,Timothée,36,154.4,83.2,F,non,aucun,Provence-Alpes-Côte d’Azur,oui,non,2406,84354
Noël,François,72,168.2,117.9,F,non,bac+2,Normandie,oui,oui,2858,84431
Toussaint,Amélie,66,162.5,63.6,H,oui,bac,Hauts-de-France,non,oui,3878,41758
Philippe,Pénélope,46,171.1,48.4,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,oui,3603,84205
Antoine,Colette,43,163.3,98.1,F,non,master,Occitanie,non,non,3796,83850
Maillet,Suzanne,69,165.5,89.2,H,oui,bac,Île-de-France,oui,oui,2581,42273
Hardy,Antoine,55,178.5,77.3,F,non,bac,Normandie,non,non,1484,83591
Sauvage,Nicolas,73,163.6,85.4,H,non,master,Provence-Alpes-Côte d’Azur,non,oui,2098,41521
Descamps,Sophie,22,166.0,55.7,F,non,aucun,Corse,non,oui,3008,84332
Hamel,Laurence,62,190.6,54.0,H,non,bac,Occitanie,non,non,2529,41939
Peltier,Juliette,59,184.1,68.8,F,oui,doctorat,Île-de-France,oui,non,3042,83694
Gilbert,Théophile,28,159.4,76.4,F,non,bac,Provence-Alpes-Côte d’Azur,non,oui,2275,84212
Vidal,Robert,39,179.9,87.8,F,oui,doctorat,Corse,non,oui,5607,83680
Nicolas,Marguerite,33,175.8,74.9,H,non,master,Occitanie,oui,non,2733,41508
Grondin,Aurélie,46,166.5,75.1,F,oui,master,Île-de-France,oui,oui,2145,83991
Raynaud,Frédéric,20,171.7,89.8,H,oui,doctorat,Bretagne,oui,non,1292,42336
Brun,Caroline,47,181.4,89.8,F,non,aucun,Corse,non,oui,2358,84303
Paul,Lucy,67,148.8,60.9,F,non,master,Provence-Alpes-Côte d’Azur,oui,non,4056,83528
Masse,Thibaut,32,169.8,55.0,H,non,bac+2,Bretagne,non,non,1894,41701
Neveu,Jules,20,178.4,78.2,H,non,bac,Normandie,oui,oui,2213,42274
Menard,Auguste,30,166.3,64.1,H,oui,master,Corse,non,non,1393,41546
Maillot,Marcel,30,186.2,65.2,F,oui,master,Île-de-France,oui,non,3960,84398
Becker,Frédéric,46,185.2,85.0,F,oui,master,Île-de-France,oui,oui,1982,84408
Fournier,Sophie,45,174.0,69.6,F,oui,doctorat,Hauts-de-France,oui,oui,1415,84132
Delmas,Julien,60,173.2,52.3,F,non,master,Corse,non,oui,3925,83820
Martin,Tristan,39,165.4,73.0,F,non,bac,Hauts-de-France,non,non,2839,83868
Diallo,Emmanuel,74,167.4,78.8,F,non,doctorat,Corse,oui,oui,1930,84384
Gonzalez,Joseph,63,178.7,49.8,F,non,bac,Hauts-de-France,non,non,2651,83521
Marion,Guy,66,189.4,55.0,F,non,doctorat,Normandie,non,non,1686,83603
Antoine,Jacqueline,45,175.1,72.7,H,oui,aucun,Normandie,oui,oui,2920,41606
Rocher,Margot,21,174.9,79.5,H,non,bac,Bretagne,non,oui,3831,41591
Brunet,Théodore,21,174.1,66.4,F,oui,doctorat,Île-de-France,non,non,3307,83647
Brunel,Christophe,24,189.0,68.0,H,non,bac,Bretagne,oui,non,1330,41606
Regnier,Louis,42,181.1,68.2,F,non,doctorat,Île-de-France,oui,non,500,83786
Leconte,Christine,30,178.5,62.0,F,oui,bac+2,Corse,oui,oui,2391,83692
Charrier,Margaux,29,173.3,72.9,H,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,3351,41930
Masson,Adrien,35,165.6,77.7,F,oui,bac,Bretagne,oui,oui,2188,84101
Moreau,Rémy,63,177.4,79.2,H,oui,bac,Auvergne-Rhône-Alpes,oui,non,1377,42111
Carpentier,Marine,58,180.9,62.0,F,non,doctorat,Auvergne-Rhône-Alpes,oui,non,3469,84070
Boulay,Alix,38,173.7,97.6,H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,2231,41639
Reynaud,Aimée,52,166.5,69.7,F,oui,bac+2,Corse,oui,non,2136,83753
Maurice,Nicolas,39,178.0,45.8,F,non,bac,Occitanie,oui,oui,1235,83726
